"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
"2023-06-01",yandex,cpc,freemium,132,0,132,26,1726717
"2023-06-01",yandex,cpc,prof-frontend,97,0,97,15,1430340
"2023-06-01",yandex,cpc,prof-python,85,0,85,12,954735
"2023-06-01",vk,cpc,freemium-frontend,130,0,84,9,552181
"2023-06-01",yandex,cpc,base-python,37,0,37,8,547928
"2023-06-01",vk,cpc,prof-python,100,2028,68,7,588004
"2023-06-01",vk,cpc,prof-data-analytics,77,0,57,5,253444
"2023-06-01",yandex,cpc,prof-java,64,0,64,5,355987
"2023-06-01",yandex,cpc,base-frontend,54,0,54,4,322155
"2023-06-01",yandex,cpc,prof-professions-brand,25,0,25,4,230307
"2023-06-20",admitad,cpa,admitad,111,0,6,4,181640
"2023-06-01",yandex,cpc,dod-frontend,10,0,10,3,203035
"2023-06-15",admitad,cpa,admitad,111,0,3,3,157870
"2023-06-01",vk,cpc,prof-java,87,0,54,3,383918
"2023-06-01",vk,cpc,freemium-python,67,0,45,3,249186
